banker_id,first_name,last_name,gender,phone,dob,date_joined
17-8676655,Malynda,Maffioni,Female,213-347-1665,1994-08-31,2019-04-19
60-6798691,Artemus,Skeffington,Male,494-479-6482,1971-09-03,2014-03-23
80-7810944,Maitilde,Jantet,Female,275-477-4642,1983-10-05,2017-09-18
95-6639047,Birdie,Palia,Female,555-636-7196,1979-11-10,2015-07-22
93-2794896,Garrott,Salzburger,Male,674-194-5313,1985-11-03,2015-07-28
05-3910890,Saleem,Longman,Male,354-870-3340,1992-01-08,2020-08-23
83-7722614,Chicky,Kezourec,Male,992-600-4768,1976-07-18,2017-02-04
61-6711847,Mandel,Renon,Male,669-682-8624,1991-05-08,2014-08-24
79-4907072,Aurlie,Vittet,Female,793-156-1615,1985-01-26,2014-07-28
19-4765034,Melisa,Curme,Female,317-886-5827,1986-07-18,2012-11-06
56-5369339,Thacher,Fishwick,Male,917-644-1537,1978-09-24,2015-02-04
61-1054895,Finlay,Wathell,Male,730-684-8021,1989-08-21,2020-07-13
42-1549766,Bar,Lampens,Male,405-847-0318,1971-07-07,2019-08-23
17-5960538,Austin,Lusher,Male,628-327-8037,1975-01-06,2010-10-02
35-3245602,Kate,Stoner,Female,147-859-0713,1993-11-12,2010-05-17
05-4983398,Jock,Richardson,Male,434-783-9662,1990-10-13,2013-07-07
62-4829318,Dane,Cockran,Male,877-599-1804,1988-02-24,2012-10-21
74-6192526,Mattheus,Dewbury,Male,606-827-6144,1978-12-26,2010-06-20
53-6456036,Selestina,Buddock,Female,965-158-0483,1990-05-25,2021-01-18
16-8049656,Hermy,Growy,Male,533-369-9438,1993-08-12,2019-11-19
03-7065010,Hew,McCorley,Male,880-414-9931,1994-05-29,2013-09-08
78-5780674,Karon,MacLeese,Female,239-245-6465,1973-09-07,2019-11-15
66-4408344,Robinson,Cruden,Male,476-702-1726,1982-12-15,2019-05-12
95-3256521,Nonnah,Leindecker,Female,769-144-1091,1978-11-29,2015-12-15
71-6009953,Bennie,Perotti,Male,264-914-1438,1989-09-30,2019-09-15
53-8502036,Raddy,Dowdle,Male,638-253-2008,1990-03-20,2012-04-15
76-5949923,Myrtia,Giametti,Female,984-722-8173,1980-07-08,2018-10-10
64-0004025,Shayne,Rafferty,Male,262-680-3843,1974-08-17,2013-11-09
78-2049276,Lenette,Bothwell,Female,414-174-8503,1993-01-11,2018-09-25
79-2670881,Tommie,Aland,Female,808-788-0351,1979-01-17,2015-06-20
59-6136985,Toma,Resun,Female,985-355-7541,1985-02-09,2014-12-29
07-1695795,Mandel,Nockles,Male,941-167-7212,1980-03-22,2020-05-04
98-1151579,Renell,Cattermole,Female,657-112-2164,1988-02-16,2012-06-23
32-5280707,Gavin,Janjic,Male,256-805-4398,1983-08-09,2016-02-29
34-5753275,Gaspar,Ungaretti,Male,622-605-4250,1981-02-03,2014-04-04
37-5234485,Gaylord,Colborn,Male,318-902-1492,1980-04-04,2015-06-25
72-2457720,Link,Dayes,Male,276-110-7424,1974-01-07,2016-08-27
67-0102426,Ottilie,Ghelerdini,Female,462-343-6892,1976-01-16,2014-02-26
43-9958344,Aeriell,Pask,Female,211-618-2500,1990-02-25,2012-03-20
93-8757266,Thaddeus,Everist,Male,241-746-1622,1988-09-18,2020-08-12
83-1498089,Mel,Dedon,Male,853-531-1392,1990-11-18,2019-04-17
35-9973556,Myron,Hayth,Male,815-450-6616,1974-06-17,2011-10-02
08-1124646,Artemis,Issacson,Male,832-827-5354,1971-02-01,2016-11-19
24-8396837,Adrian,Pastor,Male,165-107-6110,1993-05-27,2020-01-15
29-7219353,Shane,Stopforth,Male,474-198-2231,1983-05-28,2017-11-22
08-0795961,Anjanette,Adriano,Female,528-580-1693,1988-03-21,2018-06-27
58-0520880,Clive,Burchess,Male,299-528-0728,1983-07-22,2020-07-31
53-8547859,Quill,Duffell,Male,592-543-3912,1988-08-14,2017-08-06
31-1460605,Carr,Semble,Male,722-689-7598,1987-12-07,2019-10-01
61-9752031,Lou,Garms,Female,101-734-2745,1992-05-02,2012-03-09
67-6285961,Giacopo,Darracott,Male,498-630-9474,1986-07-09,2011-05-09
88-8499997,Daphna,Bradman,Female,348-909-0801,1979-02-08,2010-03-12
83-7790252,Xerxes,Sivior,Male,917-678-4306,1985-03-04,2020-06-21
18-5565639,Lucie,Fradgley,Female,317-933-3000,1975-05-24,2020-07-01
96-2477756,Roseanne,Barrowcliff,Female,395-551-4412,1974-03-23,2012-04-13
42-6128401,Jo ann,Butner,Female,568-284-8226,1993-04-18,2018-10-09
90-0814705,Odette,Eggleson,Female,298-183-4526,1990-04-15,2020-08-04
27-0541817,Jeanne,Scotchmoor,Female,433-674-0621,1974-04-26,2017-12-18
56-6551806,Tabbatha,D'Aguanno,Female,707-736-3360,1987-06-07,2020-07-08
84-0102772,Micky,Radclyffe,Female,615-770-9739,1990-01-29,2020-02-06
41-6778673,Rosalia,Conningham,Female,908-563-6253,1989-11-09,2015-02-06
66-8087214,Elise,Landreth,Female,218-306-6561,1982-08-21,2010-01-11
94-8429592,Carter,Perrigo,Male,923-993-8458,1979-01-19,2016-07-17
85-0896789,Tobie,Beggi,Male,154-320-3945,1990-03-30,2016-10-05
74-2503637,William,McCowen,Male,996-289-0279,1974-01-14,2011-04-12
35-2744676,Lon,Hayesman,Male,826-394-7017,1971-11-21,2020-01-07
11-0621082,Chip,Durham,Male,959-185-4128,1973-01-25,2020-08-06
90-4961678,Orly,Pinchbeck,Female,279-539-4501,1975-08-10,2020-11-20
55-5734855,Yvon,Dealy,Male,141-208-5493,1975-07-16,2021-03-09
91-2862010,Verina,Beadle,Female,447-955-3978,1985-04-08,2012-03-16
